Year,Unit Code,Exchange Rate
2009,EUR,1.0
2009,EUR,1.0
2009,AUD,1.468703
2009,EUR,1.0
2009,EUR,1.0
2009,CAD,1.549233
2009,CZK,25.80056
2009,DKK,7.442379
2009,EUR,1.0
2009,EUR,1.0
2009,EUR,1.0
2009,EUR,1.0
2009,HUF,273.071864
2009,EUR,1.0
2009,EUR,1.0
2009,JPY,130.745179
2009,KRW,1708.893424
2009,EUR,1.0
2009,EUR,1.0
2009,NOK,8.446657
2009,PLN,4.126043
2009,EUR,1.0
2009,EUR,1.0
2009,EUR,1.0
2009,SEK,10.43765
2009,CHF,1.512057
2009,GBP,0.902569
2009,USD,1.468703
2009,ILS,5.551629
2009,EUR,1.0
2009,EUR,1.0
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,MXN,18.960169
2009,MXN,18.960169
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,USD,1.468703
2009,ISK,183.116831
2009,ISK,183.116831
2009,USD,1.468703
2009,NZD,2.023399
2009,NZD,2.023399
2009,USD,1.468703
2009,CLP,728.804549
2009,CLP,728.804549
2009,USD,1.468703
2009,EUR,1.0
2009,EUR,1.0
2009,USD,1.468703
2009,EUR,1.0
2009,EUR,1.0
2009,USD,1.468703
2010,AUD,1.323469
2010,EUR,1.0
2010,EUR,1.0
2010,CAD,1.333422
2010,CZK,25.182359
2010,DKK,7.453787
2010,EUR,1.0
2010,EUR,1.0
2010,EUR,1.0
2010,EUR,1.0
2010,HUF,277.295758
2010,EUR,1.0
2010,EUR,1.0
2010,JPY,110.903662
2010,KRW,1509.684153
2010,EUR,1.0
2010,EUR,1.0
2010,NOK,7.939742
2010,PLN,4.026767
2010,EUR,1.0
2010,EUR,1.0
2010,EUR,1.0
2010,SEK,9.124016
2010,CHF,1.298704
2010,GBP,0.836994
2010,USD,1.323469
2010,ILS,4.785564
2010,EUR,1.0
2010,EUR,1.0
2010,AUD,1.323469
2010,EUR,1.0
2010,EUR,1.0
2010,CAD,1.333422
2010,CZK,25.182359
2010,DKK,7.453787
2010,EUR,1.0
2010,EUR,1.0
2010,EUR,1.0
2010,EUR,1.0
2010,HUF,277.295758
2010,EUR,1.0
2010,EUR,1.0
2010,JPY,110.903662
2010,KRW,1509.684153
2010,EUR,1.0
2010,EUR,1.0
2010,NOK,7.939742
2010,PLN,4.026767
2010,EUR,1.0
2010,EUR,1.0
2010,EUR,1.0
2010,SEK,9.124016
2010,CHF,1.298704
2010,GBP,0.836994
2010,USD,1.323469
2010,ILS,4.785564
2010,EUR,1.0
2010,EUR,1.0
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,MXN,16.483463
2010,MXN,16.483463
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,USD,1.323469
2010,ISK,151.835056
2010,ISK,151.835056
2010,USD,1.323469
2010,NZD,1.765453
2010,NZD,1.765453
2010,USD,1.323469
2010,CLP,629.785869
